source_transaction_index,transaction_date,transaction_season,transaction_team,transaction_team_id,transaction_notes,transaction_side,component_number,subasset_number,asset_type,draft_round,draft_years,pick_count,protection_text,source_team_text,rights_player_name,parse_confidence,needs_manual_review,known_at_transaction_text,record_season,record_basis,resolved_transaction_team_id,projected_pick_team_id,record_wins,record_losses,projected_draft_position,league_team_count,point_in_time_tier,assigned_zero_value
0,1976-11-16,1976-77,Lakers,1610612747.0,trade with Spurs,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612747.0,1610612759.0,6.0,6.0,11.0,22,projected_lottery_first,False
1,1976-11-16,1976-77,Spurs,1610612759.0,trade with Lakers,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612759.0,1610612759.0,6.0,6.0,11.0,22,projected_lottery_first,False
4,1976-11-30,1976-77,Bulls,1610612741.0,trade with Nets,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612741.0,1610612751.0,8.0,11.0,6.0,22,projected_early_second,False
5,1976-11-30,1976-77,Nets,1610612751.0,trade with Bulls,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612751.0,1610612751.0,8.0,11.0,6.0,22,projected_early_second,False
6,1976-12-08,1976-77,76ers,1610612755.0,trade with Bucks,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612755.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
6,1976-12-08,1976-77,76ers,1610612755.0,trade with Bucks,Acquired,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,current_record_at_transaction,1610612755.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
7,1976-12-08,1976-77,Bucks,1610612749.0,trade with 76ers,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612749.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
7,1976-12-08,1976-77,Bucks,1610612749.0,trade with 76ers,Relinquished,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,current_record_at_transaction,1610612749.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
14,1977-01-07,1976-77,Nets,1610612751.0,trade with Rockets (date 01-10 per NBA Guide),Relinquished,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,current_record_at_transaction,1610612751.0,1610612751.0,12.0,24.0,3.0,22,zero_value_later_round,True
15,1977-01-07,1976-77,Rockets,1610612745.0,trade with Nets (date 01-10 per NBA Guide),Acquired,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,current_record_at_transaction,1610612745.0,1610612751.0,12.0,24.0,3.0,22,zero_value_later_round,True
16,1977-01-13,1976-77,Bucks,1610612749.0,trade with Cavaliers,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612749.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
16,1977-01-13,1976-77,Bucks,1610612749.0,trade with Cavaliers,Acquired,3,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick (#12-George Johnson (Lee)),1976-77,current_record_at_transaction,1610612749.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
17,1977-01-13,1976-77,Cavaliers,1610612739.0,trade with Bucks,Relinquished,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612739.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
17,1977-01-13,1976-77,Cavaliers,1610612739.0,trade with Bucks,Relinquished,3,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick (#12-George Johnson (Lee)),1976-77,current_record_at_transaction,1610612739.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
18,1977-01-18,1976-77,Braves,1610612746.0,trade with Warriors,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612746.0,1610612746.0,16.0,26.0,4.0,22,projected_top_5_first,False
19,1977-01-18,1976-77,Warriors,1610612744.0,trade with Braves,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612744.0,1610612746.0,16.0,26.0,4.0,22,projected_top_5_first,False
20,1977-01-20,1976-77,Bullets,1610612764.0,trade with Hawks,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612764.0,1610612737.0,16.0,30.0,3.0,22,projected_top_5_first,False
20,1977-01-20,1976-77,Bullets,1610612764.0,trade with Hawks,Relinquished,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612764.0,1610612764.0,22.0,19.0,14.0,22,projected_lottery_first,False
21,1977-01-20,1976-77,Hawks,1610612737.0,trade with Bullets,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612737.0,1610612764.0,22.0,19.0,14.0,22,projected_lottery_first,False
21,1977-01-20,1976-77,Hawks,1610612737.0,trade with Bullets,Relinquished,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612737.0,1610612737.0,16.0,30.0,3.0,22,projected_top_5_first,False
22,1977-01-27,1976-77,Nets,1610612751.0,trade with Sonics,Relinquished,1,1,draft_pick,4.0,[1979],1,,,,high,False,1979 fourth round pick (not per NBA Register),1976-77,current_record_at_transaction,1610612751.0,1610612751.0,13.0,32.0,2.0,22,zero_value_later_round,True
23,1977-01-27,1976-77,SuperSonics,1610612760.0,trade with Nets,Acquired,1,1,draft_pick,4.0,[1979],1,,,,high,False,1979 fourth round pick (not per NBA Register),1976-77,current_record_at_transaction,1610612760.0,1610612751.0,13.0,32.0,2.0,22,zero_value_later_round,True
26,1977-02-01,1976-77,Nets,1610612751.0,trade with Pacers,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612751.0,1610612754.0,22.0,27.0,6.0,22,projected_lottery_first,False
27,1977-02-01,1976-77,Pacers,1610612754.0,trade with Nets,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612754.0,1610612754.0,22.0,27.0,6.0,22,projected_lottery_first,False
28,1977-03-18,1976-77,SuperSonics,1610612760.0,trade with Suns,Acquired,1,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1976-77,current_record_at_transaction,1610612760.0,1610612756.0,27.0,41.0,5.0,22,projected_early_second,False
28,1977-03-18,1976-77,SuperSonics,1610612760.0,trade with Suns,Relinquished,1,1,draft_rights,,[],1,,,Bayard Forrest,high,False,rights to Bayard Forrest,1976-77,current_record_at_transaction,1610612760.0,1610612760.0,35.0,35.0,11.0,22,draft_rights_unranked,False
29,1977-03-18,1976-77,Suns,1610612756.0,trade with Sonics,Acquired,1,1,draft_rights,,[],1,,,Bayard Forrest,high,False,rights to Bayard Forrest,1976-77,current_record_at_transaction,1610612756.0,1610612760.0,35.0,35.0,11.0,22,draft_rights_unranked,False
29,1977-03-18,1976-77,Suns,1610612756.0,trade with Sonics,Relinquished,1,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1976-77,current_record_at_transaction,1610612756.0,1610612756.0,27.0,41.0,5.0,22,projected_early_second,False
32,1977-05-24,Offseason,Nuggets,,trade with Sonics,Acquired,3,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612743.0,1610612760.0,40.0,42.0,10.0,22,projected_early_second,False
33,1977-05-24,Offseason,SuperSonics,,trade with Nuggets,Relinquished,3,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612760.0,1610612760.0,40.0,42.0,10.0,22,projected_early_second,False
34,1977-05-25,Offseason,Kings,,trade with Nuggets,Acquired,2,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612758.0,1610612743.0,50.0,32.0,20.0,22,projected_late_second,False
34,1977-05-25,Offseason,Kings,,trade with Nuggets,Relinquished,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612758.0,1610612758.0,40.0,42.0,9.0,22,projected_lottery_first,False
35,1977-05-25,Offseason,Nuggets,,trade with Kings,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612743.0,1610612758.0,40.0,42.0,9.0,22,projected_lottery_first,False
35,1977-05-25,Offseason,Nuggets,,trade with Kings,Relinquished,2,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612743.0,1610612743.0,50.0,32.0,20.0,22,projected_late_second,False
36,1977-06-01,Offseason,Kings,,trade with Lakers (date 06-06 per Lakers media guide),Relinquished,2,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612758.0,1610612758.0,40.0,42.0,9.0,22,projected_lottery_first,False
36,1977-06-01,Offseason,Kings,,trade with Lakers (date 06-06 per Lakers media guide),Relinquished,3,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612758.0,1610612758.0,40.0,42.0,9.0,22,projected_early_second,False
37,1977-06-01,Offseason,Lakers,,trade with Kings (date 06-06 per Lakers media guide),Acquired,2,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612747.0,1610612758.0,40.0,42.0,9.0,22,projected_lottery_first,False
37,1977-06-01,Offseason,Lakers,,trade with Kings (date 06-06 per Lakers media guide),Acquired,3,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612747.0,1610612758.0,40.0,42.0,9.0,22,projected_early_second,False
38,1977-06-07,Offseason,Braves,,trade with Bucks,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612746.0,1610612749.0,30.0,52.0,3.0,22,projected_top_5_first,False
38,1977-06-07,Offseason,Braves,,trade with Bucks,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
39,1977-06-07,Offseason,Bucks,,trade with Braves,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612749.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
39,1977-06-07,Offseason,Bucks,,trade with Braves,Relinquished,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612749.0,1610612749.0,30.0,52.0,3.0,22,projected_top_5_first,False
40,1977-06-09,Offseason,Braves,,trade with Lakers,Relinquished,1,1,draft_pick,3.0,[1977],1,,,,high,False,1977 third round pick,1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,zero_value_later_round,True
41,1977-06-09,Offseason,Celtics,,trade with Rockets,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612738.0,1610612738.0,44.0,38.0,12.0,22,projected_late_second,False
41,1977-06-09,Offseason,Celtics,,trade with Rockets,Relinquished,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612738.0,1610612738.0,44.0,38.0,12.0,22,projected_late_second,False
42,1977-06-09,Offseason,Lakers,,trade with Braves,Acquired,1,1,draft_pick,3.0,[1977],1,,,,high,False,1977 third round pick,1976-77,previous_season_final_record,1610612747.0,1610612746.0,30.0,52.0,2.0,22,zero_value_later_round,True
43,1977-06-09,Offseason,Rockets,,trade with Celtics,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,previous_season_final_record,1610612745.0,1610612738.0,44.0,38.0,12.0,22,projected_late_second,False
43,1977-06-09,Offseason,Rockets,,trade with Celtics,Acquired,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612745.0,1610612738.0,44.0,38.0,12.0,22,projected_late_second,False
44,1977-06-10,Offseason,Braves,,trade with Bulls,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick (#24-Larry Johnson (a)),1976-77,previous_season_final_record,1610612746.0,1610612741.0,44.0,38.0,13.0,22,projected_late_second,False
44,1977-06-10,Offseason,Braves,,trade with Bulls,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
45,1977-06-10,Offseason,Bulls,,trade with Braves,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,previous_season_final_record,1610612741.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
45,1977-06-10,Offseason,Bulls,,trade with Braves,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick (#24-Larry Johnson (a)),1976-77,previous_season_final_record,1610612741.0,1610612741.0,44.0,38.0,13.0,22,projected_late_second,False
46,1977-07-15,Offseason,Trail Blazers,,trade with Suns,Relinquished,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,previous_season_final_record,1610612757.0,1610612757.0,49.0,33.0,19.0,22,zero_value_later_round,True
46,1977-07-15,Offseason,Trail Blazers,,trade with Suns,Relinquished,2,1,draft_pick,3.0,"[1977, 1978]",1,1978 conditional third round pick (conditioned on Schlueter being on the Blazers’ roster as of 1977-12-01) (not exercised),,,high,False,1978 conditional third round pick (conditioned on Schlueter being on the Blazers’ roster as of 1977-12-01) (not exercised),1976-77,previous_season_final_record,1610612757.0,1610612757.0,49.0,33.0,19.0,22,zero_value_later_round,True
47,1977-07-15,Offseason,Suns,,trade with Blazers,Acquired,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,previous_season_final_record,1610612756.0,1610612757.0,49.0,33.0,19.0,22,zero_value_later_round,True
47,1977-07-15,Offseason,Suns,,trade with Blazers,Acquired,2,1,draft_pick,3.0,"[1977, 1978]",1,1978 conditional third round pick (conditioned on Schlueter being on the Blazers’ roster as of 1977-12-01) (not exercised),,,high,False,1978 conditional third round pick (conditioned on Schlueter being on the Blazers’ roster as of 1977-12-01) (not exercised),1976-77,previous_season_final_record,1610612756.0,1610612757.0,49.0,33.0,19.0,22,zero_value_later_round,True
52,1977-09-01,Offseason,Braves,,trade with Nets,Relinquished,2,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick (not per NBA Register),1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
52,1977-09-01,Offseason,Braves,,trade with Nets,Relinquished,3,1,draft_pick,1.0,[1979],1,,,,high,False,1979 first round pick,1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
53,1977-09-01,Offseason,Nets,,trade with Braves,Acquired,2,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick (not per NBA Register),1976-77,previous_season_final_record,1610612751.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
53,1977-09-01,Offseason,Nets,,trade with Braves,Acquired,3,1,draft_pick,1.0,[1979],1,,,,high,False,1979 first round pick,1976-77,previous_season_final_record,1610612751.0,1610612746.0,30.0,52.0,2.0,22,projected_top_5_first,False
55,1977-09-02,Offseason,Braves,,trade with Bucks,Acquired,1,1,draft_pick,1.0,"[1979, 1980]",1,,,,high,False,1979 or 1980 first round pick,1976-77,previous_season_final_record,1610612746.0,1610612749.0,30.0,52.0,3.0,22,projected_top_5_first,False
56,1977-09-02,Offseason,Bucks,,trade with Braves,Relinquished,1,1,draft_pick,1.0,"[1979, 1980]",1,,,,high,False,1979 or 1980 first round pick,1976-77,previous_season_final_record,1610612749.0,1610612749.0,30.0,52.0,3.0,22,projected_top_5_first,False
61,1977-09-13,Offseason,Braves,,trade with Hawks,Relinquished,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612746.0,1610612746.0,30.0,52.0,2.0,22,projected_early_second,False
62,1977-09-13,Offseason,Hawks,,trade with Braves,Acquired,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612737.0,1610612746.0,30.0,52.0,2.0,22,projected_early_second,False
67,1977-10-03,Offseason,76ers,,trade with Cavaliers,Acquired,1,1,draft_pick,1.0,[1981],1,,,,high,False,1981 first round pick,1976-77,previous_season_final_record,1610612755.0,1610612739.0,43.0,39.0,11.0,22,projected_lottery_first,False
67,1977-10-03,Offseason,76ers,,trade with Cavaliers,Acquired,2,1,draft_pick,1.0,[1983],1,,,,high,False,1983 first round pick,1976-77,previous_season_final_record,1610612755.0,1610612739.0,43.0,39.0,11.0,22,projected_lottery_first,False
68,1977-10-03,Offseason,Cavaliers,,trade with 76ers,Relinquished,1,1,draft_pick,1.0,[1981],1,,,,high,False,1981 first round pick,1976-77,previous_season_final_record,1610612739.0,1610612739.0,43.0,39.0,11.0,22,projected_lottery_first,False
68,1977-10-03,Offseason,Cavaliers,,trade with 76ers,Relinquished,2,1,draft_pick,1.0,[1983],1,,,,high,False,1983 first round pick,1976-77,previous_season_final_record,1610612739.0,1610612739.0,43.0,39.0,11.0,22,projected_lottery_first,False
69,1977-10-05,Offseason,Trail Blazers,,trade with Hawks,Acquired,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612757.0,1610612737.0,31.0,51.0,4.0,22,projected_early_second,False
69,1977-10-05,Offseason,Trail Blazers,,trade with Hawks,Relinquished,1,1,draft_rights,,[],1,,,Rich Laurel,high,False,rights to Rich Laurel,1976-77,previous_season_final_record,1610612757.0,1610612757.0,49.0,33.0,19.0,22,draft_rights_unranked,False
70,1977-10-05,Offseason,Hawks,,trade with Blazers,Acquired,1,1,draft_rights,,[],1,,,Rich Laurel,high,False,rights to Rich Laurel,1976-77,previous_season_final_record,1610612737.0,1610612757.0,49.0,33.0,19.0,22,draft_rights_unranked,False
70,1977-10-05,Offseason,Hawks,,trade with Blazers,Relinquished,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,previous_season_final_record,1610612737.0,1610612737.0,31.0,51.0,4.0,22,projected_early_second,False
71,1977-10-11,Offseason,Bullets,,trade with Nuggets,Acquired,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612764.0,1610612743.0,50.0,32.0,20.0,22,projected_late_first,False
72,1977-10-11,Offseason,Nuggets,,trade with Bullets,Relinquished,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612743.0,1610612743.0,50.0,32.0,20.0,22,projected_late_first,False
73,1977-10-13,Offseason,Hawks,,trade with Jazz,Acquired,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612737.0,1610612762.0,35.0,47.0,6.0,22,projected_lottery_first,False
74,1977-10-13,Offseason,Jazz,,trade with Hawks,Relinquished,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1976-77,previous_season_final_record,1610612762.0,1610612762.0,35.0,47.0,6.0,22,projected_lottery_first,False
77,1977-10-17,Offseason,Hawks,,trade with Lakers,Relinquished,1,1,draft_pick,,[],1,,,,medium,True,draft pick (possibly ),1976-77,previous_season_final_record,1610612737.0,1610612737.0,31.0,51.0,4.0,22,unknown_round_unranked,False
78,1977-10-17,Offseason,Lakers,,trade with Hawks,Acquired,1,1,draft_pick,,[],1,,,,medium,True,draft pick (possibly ),1976-77,previous_season_final_record,1610612747.0,1610612737.0,31.0,51.0,4.0,22,unknown_round_unranked,False
79,1977-10-18,1977-78,Braves,1610612746.0,trade with Pacers,Acquired,1,1,draft_pick,3.0,[1978],1,,,,high,False,1978 third round pick,1977-78,current_record_at_transaction,1610612746.0,1610612754.0,0.0,0.0,13.0,22,zero_value_later_round,True
80,1977-10-18,1977-78,Bulls,1610612741.0,trade with Jazz,Relinquished,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1977-78,current_record_at_transaction,1610612741.0,1610612741.0,0.0,0.0,4.0,22,zero_value_later_round,True
82,1977-10-18,1977-78,Jazz,1610612762.0,trade with Bulls,Acquired,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1977-78,current_record_at_transaction,1610612762.0,1610612741.0,0.0,0.0,4.0,22,zero_value_later_round,True
83,1977-10-18,1977-78,Pacers,1610612754.0,trade with Braves,Relinquished,1,1,draft_pick,3.0,[1978],1,,,,high,False,1978 third round pick,1977-78,current_record_at_transaction,1610612754.0,1610612754.0,0.0,0.0,13.0,22,zero_value_later_round,True
85,1977-10-22,1977-78,Rockets,1610612745.0,trade with Sonics,Acquired,1,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612745.0,1610612760.0,0.0,2.0,5.0,22,projected_early_second,False
85,1977-10-22,1977-78,Rockets,1610612745.0,trade with Sonics,Acquired,2,1,draft_pick,2.0,[1980],1,,,,high,False,1980 second round pick,1977-78,current_record_at_transaction,1610612745.0,1610612760.0,0.0,2.0,5.0,22,projected_early_second,False
86,1977-10-22,1977-78,SuperSonics,1610612760.0,trade with Rockets,Relinquished,1,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612760.0,1610612760.0,0.0,2.0,5.0,22,projected_early_second,False
86,1977-10-22,1977-78,SuperSonics,1610612760.0,trade with Rockets,Relinquished,2,1,draft_pick,2.0,[1980],1,,,,high,False,1980 second round pick,1977-78,current_record_at_transaction,1610612760.0,1610612760.0,0.0,2.0,5.0,22,projected_early_second,False
87,1977-11-07,1977-78,Nets,1610612751.0,trade with Pistons (Pistons and Nets media guides both mention the 1979 pick; NBA Register has conflicting information as to whether or not it was included),Relinquished,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612751.0,1610612751.0,1.0,7.0,2.0,22,projected_early_second,False
87,1977-11-07,1977-78,Nets,1610612751.0,trade with Pistons (Pistons and Nets media guides both mention the 1979 pick; NBA Register has conflicting information as to whether or not it was included),Relinquished,3,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612751.0,1610612751.0,1.0,7.0,2.0,22,projected_early_second,False
88,1977-11-07,1977-78,Pistons,1610612765.0,trade with Nets (Pistons and Nets media guides both mention the 1979 pick; NBA Register has conflicting information as to whether or not it was included),Acquired,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612765.0,1610612751.0,1.0,7.0,2.0,22,projected_early_second,False
88,1977-11-07,1977-78,Pistons,1610612765.0,trade with Nets (Pistons and Nets media guides both mention the 1979 pick; NBA Register has conflicting information as to whether or not it was included),Acquired,3,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612765.0,1610612751.0,1.0,7.0,2.0,22,projected_early_second,False
89,1977-11-11,1977-78,Trail Blazers,1610612757.0,trade with Sonics,Acquired,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1977-78,current_record_at_transaction,1610612757.0,1610612760.0,2.0,10.0,3.0,22,projected_top_5_first,False
89,1977-11-11,1977-78,Trail Blazers,1610612757.0,trade with Sonics,Acquired,2,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612757.0,1610612760.0,2.0,10.0,3.0,22,projected_early_second,False
90,1977-11-11,1977-78,SuperSonics,1610612760.0,trade with Blazers,Relinquished,1,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick,1977-78,current_record_at_transaction,1610612760.0,1610612760.0,2.0,10.0,3.0,22,projected_top_5_first,False
90,1977-11-11,1977-78,SuperSonics,1610612760.0,trade with Blazers,Relinquished,2,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612760.0,1610612760.0,2.0,10.0,3.0,22,projected_early_second,False
91,1977-11-12,1977-78,SuperSonics,1610612760.0,trade with Spurs,Acquired,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612760.0,1610612759.0,7.0,6.0,14.0,22,projected_late_second,False
91,1977-11-12,1977-78,SuperSonics,1610612760.0,trade with Spurs,Acquired,2,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612760.0,1610612759.0,7.0,6.0,14.0,22,projected_late_second,False
92,1977-11-12,1977-78,Spurs,1610612759.0,trade with Sonics,Relinquished,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612759.0,1610612759.0,7.0,6.0,14.0,22,projected_late_second,False
92,1977-11-12,1977-78,Spurs,1610612759.0,trade with Sonics,Relinquished,2,1,draft_pick,2.0,[1979],1,,,,high,False,1979 second round pick,1977-78,current_record_at_transaction,1610612759.0,1610612759.0,7.0,6.0,14.0,22,projected_late_second,False
93,1977-11-14,1977-78,Hawks,1610612737.0,trade with Knicks,Relinquished,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612737.0,1610612737.0,8.0,3.0,20.0,22,projected_late_second,False
94,1977-11-14,1977-78,Knicks,1610612752.0,trade with Hawks,Acquired,1,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612752.0,1610612737.0,8.0,3.0,20.0,22,projected_late_second,False
95,1977-11-23,1977-78,Braves,1610612746.0,trade with Pistons,Acquired,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612746.0,1610612765.0,6.0,9.0,7.0,22,projected_early_second,False
95,1977-11-23,1977-78,Braves,1610612746.0,trade with Pistons,Acquired,3,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1977-78,current_record_at_transaction,1610612746.0,1610612765.0,6.0,9.0,7.0,22,zero_value_later_round,True
95,1977-11-23,1977-78,Braves,1610612746.0,trade with Pistons,Relinquished,3,1,draft_pick,1.0,"[1979, 1980]",1,,,,high,False,1979 or 1980 first round pick,1977-78,current_record_at_transaction,1610612746.0,1610612746.0,9.0,9.0,10.0,22,projected_lottery_first,False
96,1977-11-23,1977-78,Pistons,1610612765.0,trade with Braves,Acquired,3,1,draft_pick,1.0,"[1979, 1980]",1,,,,high,False,1979 or 1980 first round pick,1977-78,current_record_at_transaction,1610612765.0,1610612746.0,9.0,9.0,10.0,22,projected_lottery_first,False
96,1977-11-23,1977-78,Pistons,1610612765.0,trade with Braves,Relinquished,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1977-78,current_record_at_transaction,1610612765.0,1610612765.0,6.0,9.0,7.0,22,projected_early_second,False
96,1977-11-23,1977-78,Pistons,1610612765.0,trade with Braves,Relinquished,3,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1977-78,current_record_at_transaction,1610612765.0,1610612765.0,6.0,9.0,7.0,22,zero_value_later_round,True
